n          TempsDynamique          TempsRecursif 
5              23926 us           23926 us
10             1954784 us         1954784 us
16             316922 us          316922 us
19             1027284 us         1042785 us
21             35030 us           50512 us
22             949842 us          980940 us
23             1314016 us         1376527 us
24             1693402 us         1802609 us
25             1166288 us         1400463 us
26             1644304 us         2112807 us
27             746872 us          1668432 us
28             827050 us          2654637 us
29             493504 us          4117547 us
30             1063226 us         8327003 us
31             1182954 us         15695049 us
32             399552 us          29376954 us
33             1967416 us         59859849 us
34             18412 us           115803497 us
